Epoch		Step		TotalStep		Det-loss		Reg-loss		TrainMode
1		50		50		1.0324		None		0
1		100		100		0.9567		None		0
1		150		150		0.9641		None		0
1		200		200		0.9407		None		0
1		250		250		0.9466		None		0
1		300		300		0.9548		None		0
1		350		350		0.9503		None		0
1		400		400		0.9539		None		0
1		450		450		0.9513		None		0
1		500		500		0.9125		None		0
1		550		550		0.9141		None		0
1		600		600		0.8878		None		0
1		650		650		0.8849		None		0
1		700		700		0.8892		None		0
1		750		750		0.8729		None		0
1		800		800		0.8654		None		0
1		850		850		0.8688		None		0
1		900		900		0.8696		None		0
1		950		950		0.8657		None		0
1		1000		1000		0.8578		None		0
1		1050		1050		0.8637		None		0
1		1100		1100		0.8680		None		0
1		1150		1150		0.8725		None		0
1		1200		1200		0.8710		None		0
1		1250		1250		0.7083		None		0
1		1300		1300		0.3710		None		0
1		1350		1350		0.2666		None		0
1		1400		1400		0.1782		None		0
1		1450		1450		0.1583		None		0
1		1500		1500		0.1267		None		0
1		1550		1550		0.2268		None		0
1		1600		1600		0.1024		None		0
1		1650		1650		0.0984		None		0
1		1700		1700		0.1005		None		0
1		1750		1750		0.0790		None		0
1		1800		1800		0.0784		None		0
1		1850		1850		0.0667		None		0
1		1900		1900		0.0699		None		0
1		1950		1950		0.1082		None		0
1		2000		2000		0.0635		None		0
1		2050		2050		0.0874		None		0
1		2100		2100		0.0606		None		0
1		2150		2150		0.0482		None		0
1		2200		2200		0.1033		None		0
1		2250		2250		0.0932		None		0
1		2300		2300		0.0769		None		0
1		2350		2350		0.0554		None		0
1		2400		2400		0.0633		None		0
1		2450		2450		0.0506		None		0
1		2500		2500		0.0839		None		0
1		2550		2550		0.0391		None		0
1		2600		2600		0.0341		None		0
1		2650		2650		0.0385		None		0
1		2700		2700		0.0536		None		0
1		2750		2750		0.0685		None		0
1		2800		2800		0.0632		None		0
1		2850		2850		0.0316		None		0
1		2900		2900		0.0320		None		0
1		2950		2950		0.0457		None		0
1		3000		3000		0.0298		None		0
1		3050		3050		0.0284		None		0
1		3100		3100		0.0457		None		0
1		3150		3150		0.0678		None		0
1		3200		3200		0.0352		None		0
1		3250		3250		0.0276		None		0
1		3300		3300		0.0289		None		0
1		3350		3350		0.0264		None		0
1		3400		3400		0.0197		None		0
1		3450		3450		0.0314		None		0
1		3500		3500		0.0596		None		0
1		3550		3550		0.0617		None		0
1		3600		3600		0.0378		None		0
1		3650		3650		0.0831		None		0
1		3700		3700		0.0279		None		0
1		3750		3750		0.0208		None		0
1		3800		3800		0.0389		None		0
1		3850		3850		0.0500		None		0
1		3900		3900		0.0297		None		0
1		3950		3950		0.0284		None		0
1		4000		4000		0.0410		None		0
1		4050		4050		0.0238		None		0
1		4100		4100		0.0507		None		0
1		4150		4150		0.0486		None		0
1		4200		4200		0.0429		None		0
1		4250		4250		0.0440		None		0
1		4300		4300		0.0395		None		0
1		4350		4350		0.0384		None		0
1		4400		4400		0.0435		None		0
1		4450		4450		0.0240		None		0
1		4500		4500		0.0238		None		0
1		4550		4550		0.0237		None		0
1		4600		4600		0.0617		None		0
1		4650		4650		0.0208		None		0
1		4700		4700		0.0457		None		0
1		4750		4750		0.0310		None		0
1		4800		4800		0.0216		None		0
1		4850		4850		0.0267		None		0
1		4900		4900		0.0207		None		0
1		4950		4950		0.0221		None		0
1		5000		5000		0.0265		None		0
1		5050		5050		0.0225		None		0
1		5100		5100		0.0295		None		0
1		5150		5150		0.0327		None		0
1		5200		5200		0.0180		None		0
1		5250		5250		0.0280		None		0
1		5300		5300		0.0193		None		0
1		5350		5350		0.0195		None		0
1		5400		5400		0.0165		None		0
1		5450		5450		0.0230		None		0
1		5500		5500		0.0267		None		0
1		5550		5550		0.0244		None		0
1		5600		5600		0.0174		None		0
1		5650		5650		0.0201		None		0
1		5700		5700		0.0211		None		0
1		5750		5750		0.0451		None		0
1		5800		5800		0.0247		None		0
1		5850		5850		0.0180		None		0
1		5900		5900		0.0241		None		0
1		5950		5950		0.0559		None		0
1		6000		6000		0.0183		None		0
1		50		50		0.9574		None		0
1		100		100		0.9380		None		0
1		150		150		0.8988		None		0
1		200		200		0.8611		None		0
1		250		250		0.8439		None		0
1		300		300		0.8430		None		0
1		350		350		0.8543		None		0
1		400		400		0.8389		None		0
1		450		450		0.8258		None		0
1		500		500		0.8542		None		0
1		550		550		0.8088		None		0
1		600		600		0.6884		None		0
1		650		650		0.6925		None		0
1		700		700		0.6780		None		0
1		750		750		0.6542		None		0
1		800		800		0.6552		None		0
1		850		850		0.6842		None		0
1		900		900		0.6412		None		0
1		950		950		0.6454		None		0
1		1000		1000		0.6480		None		0
1		1050		1050		0.6178		None		0
1		1100		1100		0.6335		None		0
1		1150		1150		0.6621		None		0
1		1200		1200		0.6048		None		0
1		1250		1250		0.6318		None		0
1		1300		1300		0.6125		None		0
1		1350		1350		0.6306		None		0
1		1400		1400		0.6271		None		0
1		1450		1450		0.6163		None		0
1		1500		1500		0.5999		None		0
1		1550		1550		0.5976		None		0
1		1600		1600		0.6309		None		0
1		1650		1650		0.6065		None		0
1		1700		1700		0.6123		None		0
1		1750		1750		0.6139		None		0
1		1800		1800		0.6215		None		0
1		1850		1850		0.6170		None		0
1		1900		1900		0.6029		None		0
1		1950		1950		0.5994		None		0
1		2000		2000		0.6216		None		0
1		2050		2050		0.5974		None		0
1		2100		2100		0.6033		None		0
1		2150		2150		0.6001		None		0
1		2200		2200		0.6031		None		0
1		2250		2250		0.5888		None		0
1		2300		2300		0.5995		None		0
1		2350		2350		0.5978		None		0
1		2400		2400		0.5993		None		0
1		2450		2450		0.6006		None		0
1		2500		2500		0.5912		None		0
1		2550		2550		0.5955		None		0
1		2600		2600		0.5961		None		0
1		2650		2650		0.5928		None		0
1		2700		2700		0.5883		None		0
1		2750		2750		0.5980		None		0
1		2800		2800		0.5992		None		0
1		2850		2850		0.5867		None		0
1		2900		2900		0.5984		None		0
1		2950		2950		0.5946		None		0
1		3000		3000		0.5905		None		0
1		3050		3050		0.5939		None		0
1		3100		3100		0.6059		None		0
1		3150		3150		0.5959		None		0
1		3200		3200		0.5837		None		0
1		3250		3250		0.5911		None		0
1		3300		3300		0.5866		None		0
1		3350		3350		0.5900		None		0
1		3400		3400		0.6006		None		0
1		3450		3450		0.5929		None		0
1		3500		3500		0.5921		None		0
1		3550		3550		0.6014		None		0
1		3600		3600		0.5870		None		0
1		3650		3650		0.5878		None		0
1		3700		3700		0.6000		None		0
1		3750		3750		0.5919		None		0
1		3800		3800		0.5790		None		0
1		3850		3850		0.5916		None		0
1		3900		3900		0.5915		None		0
1		3950		3950		0.5852		None		0
1		4000		4000		0.5819		None		0
1		4050		4050		0.5796		None		0
1		4100		4100		0.6047		None		0
1		4150		4150		0.5867		None		0
1		4200		4200		0.6256		None		0
